,yhat
0,0.046466682
1,0.04333849
2,0.04230273
3,0.04230273
4,0.04230273
5,0.045019228
6,0.083132744
7,0.13764603
8,0.04237662
9,0.106282905
10,0.061103735
11,0.05444864
12,0.045019228
13,0.04230273
14,0.09227051
15,0.045019228
16,0.04230273
17,0.045019228
18,0.100446306
19,0.04230273
20,0.04230273
21,0.04230273
22,0.04230273
23,0.16869818
24,0.045019228
25,0.04230273
26,0.04237662
27,0.045019228
28,0.11972566
29,0.04230273
30,0.047446482
31,0.09568648
32,0.04237662
33,0.04230273
34,0.04230273
35,0.04237662
36,0.045019228
37,0.083132744
38,0.04230273
39,0.045019228
40,0.045019228
41,0.054241017
42,0.04230273
43,0.045019228
44,0.045019228
45,0.04230273
46,0.045019228
47,0.11656445
48,0.14113498
49,0.045019228
50,0.046509914
51,0.15985383
52,0.0434266
53,0.04230273
54,0.045019228
55,0.04237662
56,0.044824168
57,0.04230273
58,0.05332659
59,0.04230273
60,0.04230273
61,0.045019228
62,0.13776791
63,0.076885626
64,0.06218399
65,0.05391764
66,0.07902259
67,0.04237662
68,0.045019228
69,0.04237662
70,0.04230273
71,0.04230273
72,0.04230273
73,0.06337731
74,0.04230273
75,0.047073193
76,0.04230273
77,0.04230273
78,0.04237662
79,0.05391764
80,0.12472072
81,0.04230273
82,0.07601215
83,0.04408567
84,0.04237662
85,0.04237662
86,0.04237662
87,0.045946974
88,0.12939171
89,0.04230273
90,0.045019228
91,0.04237662
92,0.06477162
93,0.045019228
94,0.08830325
95,0.051882606
96,0.04237662
97,0.04230273
98,0.04333849
99,0.045019228
100,0.12171814
101,0.045019228
102,0.05312414
103,0.045019228
104,0.07479104
105,0.051634233
106,0.04237662
107,0.042591184
108,0.04230273
109,0.04237662
110,0.04237662
111,0.045607172
112,0.04230273
113,0.04230273
114,0.04230273
115,0.064776726
116,0.045019228
117,0.10215394
118,0.04237662
119,0.045019228
120,0.04230273
121,0.0674178
122,0.04237662
123,0.04230273
124,0.1419701
125,0.046228323
126,0.045019228
127,0.088437214
128,0.090950474
129,0.110852644
130,0.04230273
131,0.04237662
132,0.045019228
133,0.04230273
134,0.07084787
135,0.04237662
136,0.045019228
137,0.04237662
138,0.05585344
139,0.04230273
140,0.04237662
141,0.04230273
142,0.04237662
143,0.12365469
144,0.13408975
145,0.045019228
146,0.057803795
147,0.04237662
148,0.04230273
149,0.04230273
150,0.04230273
151,0.04230273
152,0.090950474
153,0.045019228
154,0.045019228
155,0.045019228
156,0.060898308
157,0.04230273
158,0.051242072
159,0.042302724
160,0.04237662
161,0.04230273
162,0.04237662
163,0.045019228
164,0.04230273
165,0.04230273
166,0.069410756
167,0.08158303
168,0.04237662
169,0.04237662
170,0.045019228
171,0.07224479
172,0.04230273
173,0.07929773
174,0.06746124
175,0.11972566
176,0.13945676
177,0.09555474
178,0.04237662
179,0.14029719
180,0.066663906
181,0.13861366
182,0.04237662
183,0.060808506
184,0.043712083
185,0.04230273
186,0.045019228
187,0.09139878
188,0.045019228
189,0.045019228
190,0.04237662
191,0.04237662
192,0.04237662
193,0.04237662
194,0.045019228
195,0.045019228
196,0.04237662
197,0.06972199
198,0.04230273
199,0.15440409
200,0.11003788
201,0.04230273
202,0.04230273
203,0.045019228
204,0.045019228
205,0.12422049
206,0.045104492
207,0.04237662
208,0.120812654
209,0.04230273
210,0.13033733
211,0.04237662
212,0.04454415
213,0.04552425
214,0.04230273
215,0.11846189
216,0.04237662
217,0.04230273
218,0.04230273
219,0.045019228
220,0.04230273
221,0.04230273
222,0.13105838
223,0.119725645
224,0.12053943
225,0.09961623
226,0.04237662
227,0.04237662
228,0.045019228
229,0.04230273
230,0.04230273
231,0.04237662
232,0.0463265
233,0.04230273
234,0.045019228
235,0.045019228
236,0.04237662
237,0.04781975
238,0.045019228
239,0.045019228
240,0.051385835
241,0.04230273
242,0.04237662
243,0.045019228
244,0.10680984
245,0.04237662
246,0.045019228
247,0.04230273
248,0.04230273
249,0.045019228
250,0.11583716
251,0.04230273
252,0.04230273
253,0.12749146
254,0.057881523
255,0.045019228
256,0.04507036
257,0.05444864
258,0.1272819
259,0.04230273
260,0.045019228
261,0.04237662
262,0.045019228
263,0.12171814
264,0.04860445
265,0.083132744
266,0.04230273
267,0.045019228
268,0.124618426
269,0.086395875
270,0.045104492
271,0.04237662
272,0.060867757
273,0.04230273
274,0.0434266
275,0.045019228
276,0.045019228
277,0.045019228
278,0.04230273
279,0.0463265
280,0.04230273
281,0.11077124
282,0.044832744
283,0.04230273
284,0.16713436
285,0.045019228
286,0.06305231
287,0.042302724
288,0.04230273
289,0.045019228
290,0.04237662
291,0.045019228
292,0.13364962
293,0.045019228
294,0.045019228
295,0.04237662
296,0.051296093
297,0.04230273
298,0.04230273
299,0.04230273
300,0.13212237
301,0.04237662
302,0.07177235
303,0.04237662
304,0.045019228
305,0.060867757
306,0.04230273
307,0.05103481
308,0.08907549
309,0.04408567
310,0.04230273
311,0.04230273
312,0.04408567
313,0.07399195
314,0.04237662
315,0.04230273
316,0.07562289
317,0.04781975
318,0.042302724
319,0.045019228
320,0.04230273
321,0.045019228
322,0.04230273
323,0.045019228
324,0.044832744
325,0.119499564
326,0.088303246
327,0.04230273
328,0.04230273
329,0.04237662
330,0.04230273
331,0.0493947
332,0.045019228
333,0.042591184
334,0.04237662
335,0.04230273
336,0.045019228
337,0.04230273
338,0.04230273
339,0.04230273
340,0.04237662
341,0.04230273
342,0.04230273
343,0.04237662
344,0.045019228
345,0.045019228
346,0.04237662
347,0.045019228
348,0.045019228
349,0.04230273
350,0.042302724
351,0.10628292
352,0.04690716
353,0.045019228
354,0.045019228
355,0.11656445
356,0.04230273
357,0.04230273
358,0.045019228
359,0.045019228
360,0.1644328
361,0.045019228
362,0.13033733
363,0.07379057
364,0.16921459
365,0.045019228
366,0.04230273
367,0.04230273
368,0.12935515
369,0.052694183
370,0.045019228
371,0.10179189
372,0.04230273
373,0.04230273
374,0.12507614
375,0.06418446
376,0.04230273
377,0.05200679
378,0.044264346
379,0.045019228
380,0.045019228
381,0.045019228
382,0.04259119
383,0.045019228
384,0.04237662
385,0.04230273
386,0.045019228
387,0.043147866
388,0.045019228
389,0.04230273
390,0.045019228
391,0.05444864
392,0.045019228
