,yhat
0,-0.00021265254
1,-0.00021265233
2,-0.00021265233
3,-0.00021265059
4,-0.0002126504
5,-0.00021265059
6,-0.00021265078
7,-0.00021265059
8,-0.00021265078
9,-0.00021265059
10,-0.00021265078
11,-0.00021265059
12,-0.00021265059
13,-0.00021265059
14,-0.00021265273
15,-0.00021265254
16,-0.00021265254
17,-0.00021265254
18,-0.00021265273
19,-0.00021265254
20,-0.00021265233
21,-0.00021265233
22,-0.00021265233
23,-0.00021265233
24,-0.00021265254
25,-0.00021265233
26,-0.00021265233
27,-0.0002126504
28,-0.0002126504
29,-0.0002126504
30,-0.00021265078
31,-0.00021265059
32,-0.0002126504
33,-0.00021267534
34,-0.00021267773
35,-0.00021267892
36,-0.00021267933
37,-0.00021267992
38,-0.00021267933
39,-0.00021267952
40,-0.00021267952
41,-0.00021267992
42,-0.00021267992
43,-0.00021267992
44,-0.00021267992
45,-0.00021268032
46,-0.00021268011
47,-0.00021268032
48,-0.00021268011
49,-0.00021268011
50,-0.00021268011
51,-0.00021268032
52,-0.00021268032
53,-0.00021268032
54,-0.00021268032
55,-0.00021268011
56,-0.00021268032
57,-0.00021268032
58,-0.00021268032
59,-0.00021268052
60,-0.00021268071
61,-0.00021268032
62,-0.0002126829
63,-0.0002126827
64,-0.0002126827
65,-0.00021268251
66,-0.00021268251
67,-0.00021268251
68,-0.0002126827
69,-0.00021268251
70,-0.0002126827
71,-0.00021268071
72,-0.00021268071
73,-0.00021268071
74,-0.00021268052
75,-0.00021268071
76,-0.00021268091
77,-0.00021268071
78,-0.00021268071
79,-0.00021268071
80,-0.0002126502
81,-0.00021265
82,-0.00021265
83,-0.0002126502
84,-0.00021265
85,-0.0002126502
86,-0.00021265
87,-0.00021265
88,-0.00021265
89,-0.0002126502
90,-0.00021264981
91,-0.0002126502
92,-0.00021265
93,-0.00021265
94,-0.00021265
95,-0.0002126504
96,-0.0002126504
97,-0.00021265078
98,-0.0002126504
99,-0.00021265059
100,-0.0002126504
101,-0.0002126504
102,-0.00021265293
103,-0.00021265273
104,-0.00021265233
105,-0.00021265233
106,-0.00021265233
107,-0.00021265254
108,-0.00021265233
109,-0.00021265214
110,-0.00021265233
111,-0.0002126504
112,-0.0002126504
113,-0.0002126504
114,-0.0002126504
115,-0.0002126504
116,-0.00021265059
117,-0.0002126504
118,-0.0002126504
119,-0.0002126504
120,-0.0002126504
121,-0.0002126504
122,-0.0002126504
123,-0.00021265059
124,-0.0002126504
125,-0.0002126502
126,-0.0002126504
127,-0.0002126504
128,-0.00021265059
129,-0.00021265059
130,-0.00021265059
131,-0.00021265078
132,-0.00021265059
133,-0.00021265059
134,-0.00021265059
135,-0.00021265059
136,-0.00021265273
137,-0.00021265254
138,-0.00021265273
139,-0.00021265254
140,-0.00021265254
141,-0.00021265254
142,-0.00021265254
143,-0.00021265254
144,-0.00021265233
145,-0.00021265233
146,-0.00021265233
147,-0.00021265233
148,-0.00021265233
149,-0.00021265233
150,-0.00021265233
151,-0.00021265233
152,-0.00021265059
153,-0.0002126504
154,-0.00021265059
155,-0.0002126504
156,-0.00021265059
157,-0.0002126504
158,-0.0002126504
159,-0.0002126504
160,-0.0002126502
161,-0.0002126504
162,-0.00021265059
163,-0.0002126504
164,-0.00021265059
165,-0.0002126504
166,-0.0002126504
167,-0.0002126504
168,-0.0002126504
169,-0.0002126504
170,-0.00021265059
171,-0.0002126504
172,-0.00021265059
173,-0.0002126504
174,-0.00021265078
175,-0.0002126504
176,-0.00021265059
177,-0.0002126504
178,-0.0002126504
179,-0.00021265059
180,-0.0002126504
181,-0.0002126504
182,-0.00021265059
183,-0.0002126504
184,-0.0002126504
185,-0.00021265254
186,-0.00021265233
187,-0.00021265254
188,-0.00021265233
189,-0.00021265254
190,-0.00021265233
191,-0.00021265254
192,-0.00021265233
193,-0.00021265233
194,-0.0002126504
195,-0.0002126502
196,-0.0002126504
197,-0.0002126504
198,-0.0002126504
199,-0.00021265059
200,-0.00021265059
201,-0.0002126504
202,-0.0002126504
203,-0.0002126504
204,-0.0002126504
205,-0.0002126504
206,-0.0002126504
207,-0.0002126504
208,-0.0002126504
209,-0.00021265059
210,-0.0002126504
211,-0.0002126504
212,-0.0002126504
213,-0.0002126504
214,-0.0002126504
215,-0.0002126504
216,-0.0002126504
217,-0.00021265059
218,-0.00021267218
219,-0.00021267694
220,-0.00021267853
221,-0.00021267972
222,-0.00021267992
223,-0.00021267972
224,-0.00021267972
225,-0.00021268011
226,-0.00021268231
227,-0.00021268251
228,-0.00021268231
229,-0.00021268231
230,-0.0002126821
231,-0.00021268251
232,-0.00021268231
233,-0.00021268231
234,-0.00021268251
235,-0.00021268071
236,-0.00021268052
237,-0.00021268052
238,-0.00021268052
239,-0.00021268071
240,-0.00021268091
241,-0.00021268071
242,-0.00021268052
243,-0.00021268112
244,-0.00021268071
245,-0.00021268071
246,-0.00021268052
247,-0.00021268091
248,-0.00021268071
249,-0.00021268091
250,-0.00021268071
251,-0.00021268091
252,-0.00021268091
253,-0.00021268112
254,-0.00021268151
255,-0.00021268151
256,-0.00021268151
257,-0.00021268171
258,-0.00021268151
259,-0.00021268171
260,-0.00021268151
261,-0.0002126813
262,-0.0002126813
263,-0.0002126821
264,-0.00021265117
265,-0.00021265195
266,-0.00021265214
267,-0.0002126541
268,-0.0002126541
269,-0.0002126539
270,-0.0002126539
271,-0.0002126539
272,-0.0002126539
273,-0.0002126539
274,-0.0002126539
275,-0.0002126541
276,-0.00021265449
277,-0.00021265585
278,-0.00021265546
279,-0.00021265527
280,-0.00021265507
281,-0.00021265468
282,-0.00021265546
283,-0.00021265233
284,-0.0002126504
285,-0.00021265059
286,-0.0002126504
287,-0.0002126504
288,-0.0002126504
289,-0.0002126504
290,-0.0002126504
291,-0.0002126504
292,-0.0002126504
293,-0.00021265059
294,-0.0002126504
295,-0.0002126504
296,-0.0002126504
297,-0.0002126504
298,-0.0002126504
299,-0.0002126504
300,-0.0002126502
301,-0.0002126504
302,-0.00021265059
303,-0.0002126504
304,-0.00021265059
305,-0.0002126504
306,-0.00021265059
307,-0.0002126504
308,-0.00021265059
309,-0.00021265059
310,-0.0002126504
311,-0.00021265078
312,-0.00021267594
313,-0.00021267892
314,-0.0002126821
315,-0.00021268251
316,-0.00021268231
317,-0.0002126821
318,-0.00021268231
319,-0.00021268251
320,-0.00021268251
321,-0.00021268251
322,-0.0002126827
323,-0.00021268071
324,-0.00021268071
325,-0.00021268091
326,-0.00021268071
327,-0.00021268071
328,-0.00021268091
329,-0.00021268091
330,-0.00021268091
331,-0.00021268091
332,-0.00021268112
333,-0.00021268091
334,-0.00021268091
335,-0.00021268091
336,-0.00021268091
337,-0.00021268112
338,-0.00021268112
339,-0.00021268112
340,-0.0002126813
341,-0.00021268112
342,-0.00021268112
343,-0.00021268112
344,-0.0002126813
345,-0.00021268112
346,-0.00021268112
347,-0.0002126813
348,-0.0002126813
349,-0.00021268112
350,-0.0002126813
351,-0.00021268112
352,-0.00021268151
353,-0.00021268151
354,-0.00021268391
355,-0.0002126837
356,-0.0002126837
357,-0.0002126833
358,-0.0002126835
359,-0.0002126833
360,-0.0002126837
361,-0.0002126833
362,-0.0002126837
363,-0.0002126813
364,-0.00021268151
365,-0.00021268151
366,-0.00021268151
367,-0.0002126813
368,-0.00021269734
369,-0.00021269794
370,-0.0002126502
371,-0.00021265
372,-0.00021265
373,-0.00021265
374,-0.00021265
375,-0.00021265
376,-0.00021265
377,-0.00021265
378,-0.00021265
379,-0.00021265
380,-0.0002126502
381,-0.00021265
382,-0.0002126502
383,-0.00021265078
384,-0.00021265059
385,-0.0002126504
386,-0.00021265
387,-0.0002126504
388,-0.00021265059
389,-0.00021265078
390,-0.00021265273
391,-0.00021265254
392,-0.00021265254
393,-0.00021265254
394,-0.00021265254
395,-0.00021265254
396,-0.00021265273
397,-0.00021265254
398,-0.00021265273
399,-0.00021265254
400,-0.00021265273
401,-0.00021265254
402,-0.00021265233
403,-0.00021265233
404,-0.00021265254
405,-0.00021265059
406,-0.0002126504
407,-0.00021265059
408,-0.0002126504
409,-0.00021265078
410,-0.00021265078
411,-0.00021265059
412,-0.0002126504
413,-0.00021265059
414,-0.0002126504
415,-0.0002126504
416,-0.00021265059
417,-0.0002126504
418,-0.00021265059
419,-0.0002126504
420,-0.0002126504
421,-0.0002126502
422,-0.0002126504
423,-0.0002126504
424,-0.0002126504
425,-0.00021265059
426,-0.0002126504
427,-0.0002126504
428,-0.00021265059
429,-0.00021265059
430,-0.00021265059
431,-0.00021265098
432,-0.00021265098
433,-0.00021265078
434,-0.00021265098
435,-0.0002126504
436,-0.0002126504
437,-0.00021265254
438,-0.00021265273
439,-0.0002126533
440,-0.00021265273
441,-0.00021265273
442,-0.00021265293
443,-0.00021265233
444,-0.00021265273
445,-0.00021265233
446,-0.00021265233
447,-0.00021267495
448,-0.00021268151
449,-0.0002126849
450,-0.00021270096
451,-0.00021270117
