,yhat
0,0.011923077
1,0.011917256
2,0.011917256
3,0.011863744
4,0.0118576735
5,0.011863744
6,0.011869789
7,0.011863744
8,0.011869789
9,0.011863744
10,0.011869789
11,0.011863744
12,0.011863744
13,0.011863744
14,0.011928872
15,0.011923077
16,0.011923077
17,0.011923077
18,0.011928872
19,0.011923077
20,0.011917256
21,0.011917256
22,0.011917256
23,0.011917256
24,0.011923077
25,0.011917256
26,0.011917256
27,0.0118576735
28,0.0118576735
29,0.0118576735
30,0.011869789
31,0.011863744
32,0.0118576735
33,0.012409251
34,0.012448242
35,0.01246756
36,0.012473975
37,0.012483574
38,0.012473975
39,0.012477177
40,0.012477177
41,0.012483574
42,0.012483574
43,0.012483574
44,0.012483574
45,0.012489966
46,0.012486769
47,0.012489966
48,0.012486769
49,0.012486769
50,0.012486769
51,0.012489966
52,0.012489966
53,0.012489966
54,0.012489966
55,0.012486769
56,0.012489966
57,0.012489966
58,0.012489966
59,0.012493164
60,0.01249636
61,0.012489966
62,0.012531326
63,0.012528161
64,0.012528161
65,0.012524992
66,0.012524992
67,0.012524992
68,0.012528161
69,0.012524992
70,0.012528161
71,0.01249636
72,0.01249636
73,0.01249636
74,0.012493164
75,0.01249636
76,0.012499551
77,0.01249636
78,0.01249636
79,0.01249636
80,0.011851579
81,0.011845459
82,0.011845459
83,0.011851579
84,0.011845459
85,0.011851579
86,0.011845459
87,0.011845459
88,0.011845459
89,0.011851579
90,0.011839313
91,0.011851579
92,0.011845459
93,0.011845459
94,0.011845459
95,0.0118576735
96,0.0118576735
97,0.011869789
98,0.0118576735
99,0.011863744
100,0.0118576735
101,0.0118576735
102,0.011934644
103,0.011928872
104,0.011917256
105,0.011917256
106,0.011917256
107,0.011923077
108,0.011917256
109,0.011911409
110,0.011917256
111,0.0118576735
112,0.0118576735
113,0.0118576735
114,0.0118576735
115,0.0118576735
116,0.011863744
117,0.0118576735
118,0.0118576735
119,0.0118576735
120,0.0118576735
121,0.0118576735
122,0.0118576735
123,0.011863744
124,0.0118576735
125,0.011851579
126,0.0118576735
127,0.0118576735
128,0.011863744
129,0.011863744
130,0.011863744
131,0.011869789
132,0.011863744
133,0.011863744
134,0.011863744
135,0.011863744
136,0.011928872
137,0.011923077
138,0.011928872
139,0.011923077
140,0.011923077
141,0.011923077
142,0.011923077
143,0.011923077
144,0.011917256
145,0.011917256
146,0.011917256
147,0.011917256
148,0.011917256
149,0.011917256
150,0.011917256
151,0.011917256
152,0.011863744
153,0.0118576735
154,0.011863744
155,0.0118576735
156,0.011863744
157,0.0118576735
158,0.0118576735
159,0.0118576735
160,0.011851579
161,0.0118576735
162,0.011863744
163,0.0118576735
164,0.011863744
165,0.0118576735
166,0.0118576735
167,0.0118576735
168,0.0118576735
169,0.0118576735
170,0.011863744
171,0.0118576735
172,0.011863744
173,0.0118576735
174,0.011869789
175,0.0118576735
176,0.011863744
177,0.0118576735
178,0.0118576735
179,0.011863744
180,0.0118576735
181,0.0118576735
182,0.011863744
183,0.0118576735
184,0.0118576735
185,0.011923077
186,0.011917256
187,0.011923077
188,0.011917256
189,0.011923077
190,0.011917256
191,0.011923077
192,0.011917256
193,0.011917256
194,0.0118576735
195,0.011851579
196,0.0118576735
197,0.0118576735
198,0.0118576735
199,0.011863744
200,0.011863744
201,0.0118576735
202,0.0118576735
203,0.0118576735
204,0.0118576735
205,0.0118576735
206,0.0118576735
207,0.0118576735
208,0.0118576735
209,0.011863744
210,0.0118576735
211,0.0118576735
212,0.0118576735
213,0.0118576735
214,0.0118576735
215,0.0118576735
216,0.0118576735
217,0.011863744
218,0.012356251
219,0.012435299
220,0.012461133
221,0.012480377
222,0.012483574
223,0.012480377
224,0.012480377
225,0.012486769
226,0.012521822
227,0.012524992
228,0.012521822
229,0.012521822
230,0.012518648
231,0.012524992
232,0.012521822
233,0.012521822
234,0.012524992
235,0.01249636
236,0.012493164
237,0.012493164
238,0.012493164
239,0.01249636
240,0.012499551
241,0.01249636
242,0.012493164
243,0.012502741
244,0.01249636
245,0.01249636
246,0.012493164
247,0.012499551
248,0.01249636
249,0.012499551
250,0.01249636
251,0.012499551
252,0.012499551
253,0.012502741
254,0.012509112
255,0.012509112
256,0.012509112
257,0.012512293
258,0.012509112
259,0.012512293
260,0.012509112
261,0.012505928
262,0.012505928
263,0.012518648
264,0.011881805
265,0.011905538
266,0.011911409
267,0.011968745
268,0.011968745
269,0.011963123
270,0.011963123
271,0.011963123
272,0.011963123
273,0.011963123
274,0.011963123
275,0.011968745
276,0.011979915
277,0.0120182345
278,0.012007407
279,0.012001958
280,0.011996485
281,0.011985463
282,0.012007407
283,0.011917256
284,0.0118576735
285,0.011863744
286,0.0118576735
287,0.0118576735
288,0.0118576735
289,0.0118576735
290,0.0118576735
291,0.0118576735
292,0.0118576735
293,0.011863744
294,0.0118576735
295,0.0118576735
296,0.0118576735
297,0.0118576735
298,0.0118576735
299,0.0118576735
300,0.011851579
301,0.0118576735
302,0.011863744
303,0.0118576735
304,0.011863744
305,0.0118576735
306,0.011863744
307,0.0118576735
308,0.011863744
309,0.011863744
310,0.0118576735
311,0.011869789
312,0.012419046
313,0.01246756
314,0.012518648
315,0.012524992
316,0.012521822
317,0.012518648
318,0.012521822
319,0.012524992
320,0.012524992
321,0.012524992
322,0.012528161
323,0.01249636
324,0.01249636
325,0.012499551
326,0.01249636
327,0.01249636
328,0.012499551
329,0.012499551
330,0.012499551
331,0.012499551
332,0.012502741
333,0.012499551
334,0.012499551
335,0.012499551
336,0.012499551
337,0.012502741
338,0.012502741
339,0.012502741
340,0.012505928
341,0.012502741
342,0.012502741
343,0.012502741
344,0.012505928
345,0.012502741
346,0.012502741
347,0.012505928
348,0.012505928
349,0.012502741
350,0.012505928
351,0.012502741
352,0.012509112
353,0.012509112
354,0.0125471195
355,0.012543965
356,0.012543965
357,0.012537651
358,0.01254081
359,0.012537651
360,0.012543965
361,0.012537651
362,0.012543965
363,0.012505928
364,0.012509112
365,0.012509112
366,0.012509112
367,0.012505928
368,0.012754907
369,0.012764104
370,0.011851579
371,0.011845459
372,0.011845459
373,0.011845459
374,0.011845459
375,0.011845459
376,0.011845459
377,0.011845459
378,0.011845459
379,0.011845459
380,0.011851579
381,0.011845459
382,0.011851579
383,0.011869789
384,0.011863744
385,0.0118576735
386,0.011845459
387,0.0118576735
388,0.011863744
389,0.011869789
390,0.011928872
391,0.011923077
392,0.011923077
393,0.011923077
394,0.011923077
395,0.011923077
396,0.011928872
397,0.011923077
398,0.011928872
399,0.011923077
400,0.011928872
401,0.011923077
402,0.011917256
403,0.011917256
404,0.011923077
405,0.011863744
406,0.0118576735
407,0.011863744
408,0.0118576735
409,0.011869789
410,0.011869789
411,0.011863744
412,0.0118576735
413,0.011863744
414,0.0118576735
415,0.0118576735
416,0.011863744
417,0.0118576735
418,0.011863744
419,0.0118576735
420,0.0118576735
421,0.011851579
422,0.0118576735
423,0.0118576735
424,0.0118576735
425,0.011863744
426,0.0118576735
427,0.0118576735
428,0.011863744
429,0.011863744
430,0.011863744
431,0.011875809
432,0.011875809
433,0.011869789
434,0.011875809
435,0.0118576735
436,0.0118576735
437,0.011923077
438,0.011928872
439,0.011946111
440,0.011928872
441,0.011928872
442,0.011934644
443,0.011917256
444,0.011928872
445,0.011917256
446,0.011917256
447,0.012402697
448,0.012509112
449,0.012562853
450,0.012810003
451,0.01281306
452,0.01281306
453,0.012855816
454,0.012852764
455,0.01289551
456,0.0128894
457,0.01289551
458,0.012892454
459,0.01253449
460,0.012543965
461,0.012543965
462,0.012515472
463,0.012528161
464,0.012524992
465,0.012502741
466,0.012505928
467,0.012505928
468,0.012509112
469,0.012509112
470,0.012509112
471,0.012509112
472,0.012505928
473,0.01255342
474,0.011923077
475,0.011911409
476,0.011917256
477,0.011911409
478,0.011911409
479,0.011911409
480,0.011923077
481,0.01194039
482,0.01194039
483,0.011934644
484,0.011974343
485,0.01194039
486,0.011934644
487,0.011946111
488,0.011928872
489,0.011951807
490,0.012034291
491,0.012070896
492,0.011979915
493,0.011979915
494,0.011923077
495,0.011917256
496,0.011923077
497,0.011917256
498,0.011917256
499,0.011917256
500,0.011917256
501,0.011917256
502,0.011923077
503,0.011893721
504,0.011893721
505,0.011887776
506,0.011887776
507,0.011875809
508,0.011917256
509,0.011899642
510,0.0118576735
511,0.011887776
512,0.011905538
513,0.011893721
514,0.011893721
515,0.011875809
516,0.011899642
517,0.011887776
518,0.012039595
519,0.012028964
520,0.012023611
521,0.012034291
522,0.012356251
523,0.012023611
524,0.01194039
525,0.011923077
526,0.011928872
527,0.011923077
528,0.012007407
529,0.011917256
530,0.011917256
531,0.011917256
532,0.011917256
533,0.011863744
534,0.0118576735
535,0.0118576735
536,0.0118576735
537,0.011863744
538,0.0118576735
539,0.0118576735
540,0.0118576735
541,0.0118576735
542,0.0118576735
543,0.0118576735
544,0.0118576735
545,0.0118576735
546,0.011863744
547,0.0118576735
548,0.0118576735
549,0.0118576735
550,0.0118576735
551,0.011863744
552,0.0118576735
553,0.0118576735
554,0.011863744
555,0.0118576735
556,0.0118576735
557,0.0118576735
558,0.0118576735
559,0.0118576735
560,0.0118576735
561,0.0118576735
562,0.0118576735
563,0.011934644
564,0.011923077
565,0.011923077
566,0.011923077
567,0.011923077
568,0.011928872
569,0.011946111
570,0.011923077
571,0.011923077
572,0.011917256
573,0.011923077
574,0.011923077
575,0.011917256
576,0.011863744
577,0.0118576735
578,0.011863744
579,0.011863744
580,0.011863744
581,0.0118576735
582,0.0118576735
583,0.0118576735
584,0.0118576735
585,0.0118576735
586,0.011863744
587,0.0118576735
588,0.011928872
589,0.011923077
590,0.011917256
591,0.011917256
592,0.011917256
593,0.011928872
594,0.011917256
595,0.011923077
596,0.011917256
597,0.0118576735
598,0.0118576735
599,0.011863744
600,0.0118576735
601,0.011863744
602,0.0118576735
603,0.012382884
604,0.012441778
605,0.012473975
606,0.012483574
607,0.012489966
608,0.012486769
609,0.012489966
610,0.012486769
611,0.012493164
612,0.012486769
613,0.01249636
614,0.012493164
615,0.01249636
616,0.01249636
617,0.01249636
618,0.012499551
619,0.012499551
620,0.01249636
621,0.01249636
622,0.012499551
623,0.01249636
624,0.012499551
625,0.012512293
626,0.012499551
627,0.01249636
628,0.01249636
629,0.012499551
630,0.012505928
631,0.012502741
632,0.012505928
633,0.01253449
634,0.01254081
635,0.012537651
636,0.01253449
637,0.01253449
638,0.01253449
639,0.01253449
640,0.01253449
641,0.012537651
642,0.012537651
643,0.012515472
644,0.012512293
645,0.012521822
646,0.012509112
647,0.012502741
648,0.012515472
649,0.012515472
650,0.012512293
651,0.011845459
652,0.011845459
653,0.011845459
654,0.011875809
655,0.011869789
656,0.011869789
657,0.0118576735
658,0.011845459
659,0.011845459
660,0.011845459
661,0.011845459
662,0.011863744
663,0.0118576735
664,0.011863744
665,0.0118576735
666,0.011845459
667,0.011845459
668,0.011851579
669,0.0118576735
670,0.011863744
671,0.011863744
672,0.011881805
673,0.011887776
674,0.011887776
675,0.011957478
676,0.011934644
677,0.011923077
678,0.012182984
679,0.01213937
680,0.012165833
681,0.012134801
682,0.012134801
683,0.012120954
684,0.012148316
685,0.01213937
686,0.01215273
687,0.01213937
688,0.012161489
689,0.012134801
690,0.012081131
691,0.012130207
692,0.012096296
693,0.012070896
694,0.012086212
695,0.012070896
696,0.012070896
697,0.012096296
698,0.012076027
699,0.012086212
700,0.012070896
701,0.012143879
702,0.012091266
703,0.012076027
704,0.012130207
705,0.012091266
706,0.012081131
707,0.012091266
708,0.012076027
709,0.012106281
710,0.012081131
711,0.012076027
712,0.012120954
713,0.012086212
714,0.012130207
715,0.012096296
716,0.012143879
717,0.012143879
718,0.012191101
719,0.012182984
720,0.012081131
721,0.012070896
722,0.012081131
723,0.012165833
724,0.012125592
725,0.012143879
726,0.01211617
727,0.012125592
728,0.012161489
729,0.012130207
730,0.01213937
731,0.0121744545
732,0.0121701555
733,0.011957478
734,0.011963123
735,0.011946111
736,0.011946111
737,0.011951807
738,0.011946111
739,0.011934644
740,0.01194039
741,0.01194039
742,0.011934644
743,0.011951807
744,0.011946111
745,0.011946111
746,0.011951807
747,0.011979915
748,0.012435299
749,0.012515472
750,0.0125471195
751,0.01255342
752,0.012556567
753,0.012562853
754,0.012559711
755,0.012489966
756,0.012493164
757,0.012493164
758,0.01254081
759,0.01253449
760,0.012531326
761,0.012537651
762,0.012543965
763,0.012575401
764,0.012572267
765,0.01254081
766,0.01253449
767,0.012543965
768,0.01253449
769,0.012543965
770,0.01297514
771,0.013018263
772,0.012999759
773,0.012993599
774,0.013015176
775,0.013174946
776,0.013162165
777,0.012806946
778,0.01280389
779,0.01280389
780,0.01228823
781,0.012291683
782,0.01228823
783,0.012298572
784,0.012298572
785,0.012305439
786,0.012339447
787,0.012332689
788,0.012332689
789,0.012332689
790,0.012382884
791,0.012339447
792,0.012342817
793,0.012339447
794,0.012336071
795,0.012336071
796,0.0123762535
797,0.012379571
798,0.012366274
799,0.012366274
800,0.012336071
801,0.012332689
802,0.012329302
803,0.012329302
804,0.012339447
805,0.012329302
806,0.012305439
807,0.012305439
808,0.012305439
809,0.012308865
810,0.012305439
811,0.012305439
812,0.012305439
813,0.012302008
814,0.012302008
815,0.012302008
816,0.012302008
817,0.012302008
818,0.012298572
819,0.012295131
820,0.012302008
821,0.012263852
822,0.012270855
823,0.012263852
824,0.012274346
825,0.012274346
826,0.012270855
827,0.012267357
828,0.012267357
829,0.012267357
830,0.012270855
831,0.012270855
832,0.012270855
833,0.012270855
834,0.012312285
835,0.012305439
836,0.012346184
837,0.01245147
838,0.012425558
839,0.012445011
840,0.012470769
841,0.01246756
842,0.012464348
843,0.01246756
844,0.012470769
845,0.012483574
846,0.012435299
847,0.012445011
848,0.012402697
849,0.012402697
850,0.01241252
851,0.012415784
852,0.012425558
853,0.012409251
854,0.01241252
855,0.012409251
856,0.012409251
857,0.012445011
858,0.01245147
859,0.012445011
860,0.012448242
861,0.012457916
862,0.01245147
863,0.01245147
864,0.012464348
865,0.012454694
866,0.012473975
867,0.012448242
868,0.012441778
869,0.012464348
870,0.012457916
871,0.012441778
872,0.012441778
873,0.012445011
874,0.012422304
875,0.012419046
876,0.012448242
877,0.01280389
878,0.01281917
879,0.012779418
880,0.012767168
881,0.012748772
882,0.01276104
883,0.012745703
884,0.01276104
